"","tic","year","assets.total","cash","shares.outstanding.common","co.stock","financing.net.cash.flow","gross.profit.loss","invested.capital","total.inventories","liabilities.total","net.income.loss","volatility.assumption","risk.free.rate","retained.earnings","retained.earnings.restatement","revenue.total","working.capital","deffered.long.asset.tax","net.deferred.tax.asset","eps","trade.volume","stock.price.trend","price.close.monthly","settlement","was.litigated","quality.rating","market.cap","settlement.dollars","mpl","earnings"
"28","ALOT",2010,64.999,7.72,7.245,0.433,-2.141,30.243,54.289,14.405,10.71,2.062,41.06,2.27,27.11,0,71.016,42.197,0,0.517,0.28,1026863,0.0895105263157889,7.30020973241734,0,FALSE,3,52.8900195113636,0,0.0122613636589519,0.0383550624246631
"29","ALOT",2011,67.062,11.704,7.414,0.448,-1.918,33.293,55.663,14.129,11.399,3.132,39.25,1.47,28.04,0,79.193,44.206,0,0.725,0.43,765109,-0.340219285714285,7.71127936420019,0,FALSE,3,57.1714252061802,0,0.044119693976302,0.055762472047931
"30","ALOT",2012,79.913,30.999,7.369,0.452,-3.034,25.059,63.837,11.179,16.076,10.767,39.1,0.91,36.265,0,61.224,56.597,0.356,2.111,1.46,654462,1.627745,8.35451067079755,0,FALSE,3,61.5643891331071,0,0.194834271466028,0.174755896249352
"31","ALOT",2013,77.964,8.341,7.561,0.465,-1.001,28.484,66.614,15.178,11.35,3.212,38.265,0.825,37.377,0,68.592,55.142,0.313,1.909,0.43,2284785,3.63551428571428,11.22397120063,0,FALSE,3,84.8644462479637,0,0.323906237883986,0.0383108609523038
"32","AVT",2010,7782.382,1092.102,151.836,151.874,296.772,2338.538,4252.798,1812.766,4773.265,410.37,34.3,3,1651.803,-43.19,19160.172,3190.553,0,141.182,2.71,355625183,4.41574162679426,28.2992292386929,0,FALSE,3,4296.84177068618,0,0.156037522773119,0.0957623254379903
"33","AVT",2011,9905.569,675.334,152.797,152.835,63.212,3186.561,5329.579,2596.47,5849.499,669.069,33.7,1.8,2670.721,0,26534.413,3749.479,0,139.301,4.39,376659942,-4.12669047619048,31.5149876985778,0,FALSE,3,4815.39557537959,0,0.130943743835785,0.139298801001852
"34","AVT",2012,10167.866,1006.864,142.548,142.586,283.073,3148.919,5177.717,2388.642,6262.134,567.019,33.7,1.2,2500.026,0,25707.522,3455.787,0,137.646,3.85,264070140,-2.3195,32.1492929400246,0,FALSE,3,4582.81741001463,0,0.0721477764480572,0.119753800097012
"35","AVT",2013,10474.68,1009.343,137.089,137.127,-344.083,3100.447,5496.118,2264.341,6185.555,450.073,35,0.9,2831.861,0,25458.924,3535.434,0,132.375,3.26,204920475,9.11714285714286,37.0361675462536,0,FALSE,3,5077.25117274837,0,0.246168636259588,0.0880220664281383
"36","BMI",2010,215.864,3.089,15.048,21.259,-2.717,111.283,168.383,48.316,47.481,28.662,49,2.4,142.964,0,276.634,64.658,1.658,4.78,1.92,21895468,4.04868421052631,40.1068933400695,0,FALSE,3,603.528530981366,0,0.100947340303753,0.0478720698639051
"37","BMI",2011,218.91,4.975,15.123,21.292,-19.997,99.311,179.281,49.436,39.629,19.161,48,1.98,151.705,0,262.915,78.782,2.309,5.659,1.28,28614006,-12.4043333333333,35.597209958361,0,FALSE,3,538.336606200293,0,0.34846363936508,0.0359578742687208
"38","BMI",2012,290.453,6.554,14.314,20.441,26.779,134.3,171.247,60.997,119.206,28.032,49.7,0.85,141.746,0,319.66,27.294,0,-4.796,1.96,23816710,14.618,36.9008377246641,0,FALSE,3,528.198591190842,0,0.396142768060507,0.0531153253111638
"39","BMI",2013,316.058,7.263,14.412,20.504,-4.279,130.483,196.563,60.939,119.495,24.617,49.7,0.82,162.794,0,334.122,29.122,0,-4.956,1.71,16146301,4.35904761904762,48.8396999795272,0,FALSE,3,703.877756104946,0,0.089252137520805,0.0350125000914585
"40","BELFB",2010,277.172,83.829,11.702,1.17,-3.181,73.031,220.333,56.97,56.839,13.649,0,0,195.438,0,302.539,157.296,3.201,4.224,1.17,7213506,2.73131578947368,21.0149541516836,0,FALSE,3,245.916993483001,0,0.129970104610239,0.0556746396663572
"41","BELFB",2011,276.911,88.241,11.811,1.181,-3.205,58.772,221.08,53.361,55.831,3.764,0,0,194.479,0,295.121,165.264,2.814,4.109,0.32,7297668,-5.13245238095238,19.6283166810306,0,FALSE,3,231.830048319653,0,0.261482044759983,0.0163029772343778
"42","BELFB",2012,275.218,71.262,11.547,1.154,-9.886,55.302,215.391,54.924,59.827,2.402,0,0,193.785,0,286.594,144.748,1.403,2.837,0.2,7505473,-1.8265,17.8388551446964,0,FALSE,3,205.985260355809,0,0.102388857647237,0.0112114818119066
"43","BELFB",2013,308.05,62.123,11.511,1.15,6.039,74.936,228.702,70.019,79.348,15.908,0,0,208.638,-0.029,349.189,137.304,1.68,4.675,1.39,7138713,2.92285714285714,17.3383127739474,0,FALSE,3,199.581318340908,0,0.16857794532632,0.0801692770295746
"44","MSGI",2010,0.742,0.161,73.674,0.737,1.763,0,-26.251,0,26.993,-13.372,0,0,-297.337,0,0,-26.588,0,0,-0.27,97438067,-0.00463995215311006,0.058624915921226,0,FALSE,2,4.3191320555804,0,0.079146418893713,4.60555031520724
"45","CTS",2010,482.584,73.315,34.197,285.515,15.553,137.728,344.25,76.885,208.334,22.038,0,0,247.969,0,552.641,146.555,59.956,70.68,0.65,45643602,1.75746411483254,9.64790382659547,0,FALSE,3,329.929367158085,0,0.182160202508228,0.0673721475340795
"46","CTS",2011,480.815,76.412,34.066,287.661,-2.616,126.151,337.697,92.54,217.518,20.967,0,0,237.059,0,588.506,159.149,76.2,86.918,0.61,33857907,-2.40283333333333,9.92957632676883,0,FALSE,3,338.260947147707,0,0.241987498183141,0.0614326311542135
"47","CTS",2012,561.176,109.571,33.433,291.512,65.806,120.997,421.258,81.752,293.418,20.333,0,0,247.196,0,576.918,194.532,73.158,89.943,0.6,19841015,0.0484999999999989,9.64768096501134,0,FALSE,3,322.550917703224,0,0.0050271148243698,0.0621911112293186
"48","CTS",2013,480.265,124.368,33.559,297.164,-86.566,134.698,371.729,32.226,183.536,-3.929,0,0,277.1,0,409.461,141.149,38.62,47.659,-0.12,24090780,7.48666666666666,13.5107351023309,0,FALSE,3,453.406759299124,0,0.554127263243806,0.00888182612501204
"50","CAMP",2010,55.485,4.241,28.147,0.281,1.183,30.969,22.062,9.89,37.883,-3.283,74,2.1,-135.814,0,114.333,5.234,9.887,11.848,-0.12,22765598,-0.329816028708134,2.66875580675998,0,FALSE,3,75.1174696928732,0,0.123584191507034,0.0449647733584462
"51","CAMP",2011,51.481,5.601,28.722,0.287,-10.562,43.539,26.877,10.613,26.504,5.218,73,1.9,-129.795,0,138.728,16.188,6.412,11.837,0.19,30545172,1.27247642857143,3.36764041225429,0,FALSE,3,96.7253679207676,0,0.377854008385544,0.0564193253260121
"52","CAMP",2012,150.771,63.101,35.041,0.35,43.301,57.914,119.983,13.516,33.222,44.626,63,0.8,-85.169,0,180.579,77.82,34.616,41.016,1.54,57145880,3.77759,6.72480537807381,0,FALSE,3,235.643905253084,0,0.561739676856198,0.229002909886606
"53","CAMP",2013,179.265,19.233,35.859,0.359,-2.508,81.753,133.849,14.968,46.118,11.803,69,1.7,-73.366,0,235.903,50.123,35.131,42.75,0.34,103714717,16.9,15.5164480983833,0,FALSE,3,556.404312359927,0,1.08916679209341,0.0219122313202224
"54","CAJ",2010,48779.478,10292.385,1228.467,2139.856,-3427.17,25214.656,34452.896,4711.363,14377.164,3019.505,38,0.45,32235.924,0,45388.772,15103.318,1674.139,1909.489,2.45,84272321,7.99739234449761,43.9407908436275,0,FALSE,0,53979.8115052986,0,0.182003832679253,0.0557568480894856
"55","CAJ",2011,51061.665,10044.518,1201.532,2270.226,-3345.194,25956.171,35295.337,6192.569,15810.08,3229.8,36.44,0.44,34249.532,0,46212.432,16360.833,1696.31,1913.042,2.66,96605245,-6.52766666666666,46.1143246744992,0,FALSE,0,55407.8367548003,0,0.141553990278349,0.0576827269785642
"56","CAJ",2012,45654.467,7694.806,1152.791,2017.105,-3690.432,22023.303,31814.623,6366.84,13864.278,2591.921,0,0,32703.023,0,40163.758,14286.946,1407.364,1580.309,2.21,121959915,-5.89,39.2971959799036,0,FALSE,0,45301.4538508691,0,0.149883467589192,0.0562381092312587
"57","CAJ",2013,40310.784,7495.572,1136.999,1660.447,-2110.983,19701.605,29151.781,5261.501,11172.761,2189.862,0,0,30357.595,0,35452.541,13659.24,983.743,937.682,1.91,125337443,-5.77380952380952,34.0114222005112,0,FALSE,0,38670.953030559,0,0.169760896494435,0.0561576046052933
"58","RFIL",2010,19.109,4.729,2.931,0.029,0.199,8.625,16.914,4.608,2.195,1.22,52.1,0.95,9.859,0,16.322,15.654,0,0.594,0.43,1593229,1.95833708133971,5.48487401152337,0,FALSE,3,16.076165727775,0,0.357043220541688,0.0783974251909154
"59","RFIL",2011,24.378,1.761,7.111,0.071,-1.352,9.729,19.678,6.189,4.7,0.776,52.7,0.95,8.011,0,19.434,12.918,0,-0.461,0.12,3531862,-3.25845476190476,4.47388416485053,0,FALSE,3,31.8137902962521,0,0.728327923084174,0.0268223305696626
"60","RFIL",2012,25.464,5.492,6.978,0.07,-2.109,13.834,20.23,6.985,5.234,2.611,57.7,0.35,8.153,0,30.233,14.904,0,-0.316,0.38,2011610,0.80733,3.90254853167174,0,FALSE,3,27.2319836540054,0,0.206872507400738,0.0973722676133433
"61","RFIL",2013,28.953,11.881,8.075,0.081,1.129,16.617,25.419,5.995,3.534,3.828,42.9,0.36,9.632,0,36.625,20.326,0,-0.628,0.5,30627709,3.8334619047619,6.94923535370046,0,FALSE,3,56.1150754811312,0,0.551637944269738,0.0719503620975725
"62","CKP",2010,1035.273,173.802,39.807,4.384,28.891,379.848,704.015,106.974,450.982,27.371,48.29,1.845,244.044,5.897,834.498,298.794,52.506,61.499,0.69,52475126,4.42964114832536,19.4926663727831,0,FALSE,2,775.944570301376,0,0.227246548194674,0.0353979279593798
"63","CKP",2011,1044.481,93.481,40.205,4.424,5.897,368.15,658.024,130.987,515.141,-66.569,49.91,2.138,177.009,-2.485,865.343,233.116,27.241,11.696,-1.64,56917490,-10.386880952381,17.0137986129685,0,FALSE,2,684.039773234399,0,0.610497466712913,0.0963923481937734
"64","CKP",2012,859.809,118.829,40.727,4.476,-35.166,302.442,486.467,82.154,482.263,-145.876,52.08,0.75,19.187,0,690.789,227.714,26.843,17.93,-3.56,51712677,-0.861499999999999,9.32495472376594,0,FALSE,2,379.777431034815,0,0.0923865075510069,0.381771290634457
"65","CKP",2013,799.493,121.573,41.449,4.548,-11.337,295.491,472.58,83.521,453.168,-18.928,50.79,0.835,-21.039,89.912,689.738,233.452,38.131,31.469,-0.46,49673274,3.06190476190476,14.1635149917779,0,FALSE,2,587.063532894201,0,0.216182548165639,0.0324778136124427
"66","CHYR",2010,37.421,5.565,16.054,0.161,-0.357,20.263,27.827,2.218,9.811,-2.396,73.82,1.7,-54.344,0,27.727,8.362,17.343,20.212,-0.15,3658231,-0.00189976076555043,1.88964075784405,0,FALSE,2,30.3362927264284,0,0.00100535551938344,0.0793801675674797
"67","CHYR",2011,35.806,4.216,16.64,0.166,-0.246,23.119,24.085,2.132,11.764,-4.246,70.26,1.36,-59.531,0,31.587,7.369,15.994,18.502,-0.26,3573897,-1.31075,2.08258322018402,0,FALSE,2,34.6541847838622,0,0.629386613363848,0.124844950962884
"68","CHYR",2012,15.115,2.483,17.135,0.171,0.504,21.802,2.402,2.285,13.134,-22.301,71.46,0.58,-82.729,0,30.222,3.709,0,0,-1.31,2635680,-0.80789,1.24357878279774,0,FALSE,2,21.3087224432393,0,0.649649231054305,1.05341134644709
"69","CHYR",2013,50.652,5.266,30.788,0.308,-0.848,34.031,16.441,2.816,35.185,-7.839,76.87,1.78,-88.664,0,47.407,1.236,0.056,-1.41,-0.31,7641403,1.21502857142857,1.47098459056072,0,FALSE,2,45.2886735741835,0,0.825996804606509,0.210743200159447
"70","COHR",2010,803.104,245.38,24.554,0.245,-10.193,287.486,591.496,113.858,211.641,36.916,33,2,405.14,0,605.067,410.597,53.219,65.038,1.49,39065709,16.6925,36.4154704320914,0,FALSE,3,894.145460989573,0,0.45839034349779,0.0409166758611177
"71","COHR",2011,843.266,167.061,23.722,0.236,-64.13,371.954,618.02,152.385,225.265,93.238,36.1,1.1,487.515,0,802.834,418.241,37.156,54.376,3.74,41629429,4.1038,51.8303779257515,0,FALSE,3,1229.52022515468,0,0.0791775048578425,0.0721584551314223
"72","COHR",2012,880.772,67.761,23.746,0.237,-14.999,339.518,671.658,160.113,209.116,62.962,0,0,539.711,0,769.088,460.697,37.16,59.303,2.67,28268222,-7.48643,49.6505166463507,0,FALSE,3,1179.00116828424,0,0.150782519612517,0.0537758754660661
"73","COHR",2013,966.478,110.444,24.464,0.244,-11.686,354.909,758.518,168.067,207.96,66.355,0,0,596.021,0,810.126,483.398,37.637,48.599,2.75,21379166,17.9667190476191,59.4996068394801,0,FALSE,3,1455.59838172104,0,0.301963659963169,0.046218792796716
"74","JCS",2010,109.07,16.788,8.423,0.421,-4.889,53.059,93.399,24.499,17.673,9.715,27.3,3.7,56.484,0,120.072,73.535,0,3.885,1.16,3419253,1.57387559808613,11.9503334569956,0,FALSE,3,100.657658708274,0,0.131701395927559,0.097068421075811
"75","JCS",2011,116.659,22.516,8.467,0.423,-5.185,60.954,99.106,25.986,19.128,9.798,27.7,3.4,61.575,0,143.775,74.558,0,1.978,1.16,7236200,-0.784247142857142,15.5684405223905,0,FALSE,3,131.81798590308,0,0.0503741618647829,0.0745097107402436
"76","JCS",2012,112.535,17.87,8.475,0.424,-7.924,43.528,95.113,33.753,18.54,2.238,31.2,2.3,57.167,0,104.25,70.677,0,2.632,0.26,5676477,-4.5105,12.0002362859966,0,FALSE,3,101.702002523821,0,0.375867598979149,0.0216662400475731
"77","JCS",2013,103.533,20.059,8.553,0.428,-4.39,46.981,89.25,29.111,14.911,-0.958,31.8,2.1,51.084,0,131.32,70.599,0,2.95,-0.11,3422843,0.376195238095239,10.6880309871145,0,FALSE,3,91.4147290327905,0,0.0351978057089074,0.0102918863289801
"78","CMTL",2010,1066.562,607.594,28.332,2.854,3.101,282.371,901.632,73.562,364.93,60.63,38,1.99,351.449,-13.02,778.205,686.6,0,11.974,2.14,94596242,-7.82325358851675,29.5653901189073,0,FALSE,3,837.646632848881,0,0.264608501935975,0.0723819300673274
"79","CMTL",2011,937.509,558.804,24.223,2.873,-136.112,255.299,829.18,74.661,308.329,67.895,36.31,1.58,393.109,0,612.379,627.008,0,9.428,2.53,89383301,1.44257142857143,28.4350516970952,0,FALSE,3,688.782257258736,0,0.0507321542418294,0.0889746931692217
"80","CMTL",2012,719.778,367.894,17.368,2.893,-237.99,194.984,629.401,72.361,290.377,32.416,36.63,0.64,404.227,0,425.07,434.221,0.438,12.621,1.62,37765327,-4.641325,28.961791447678,0,FALSE,3,503.008393863271,0,0.160256833849003,0.0559357663674456
"81","CMTL",2013,681.815,356.642,16.458,2.907,-43.6,148.667,404.062,65.482,277.753,17.808,30.09,1.02,403.398,0,319.797,220.56,0,8.927,1.05,25278048,5.28833333333333,26.9035057356831,0,FALSE,3,442.777897397872,0,0.19656669971896,0.0390283708865253
"82","CNLG",2010,2.338,0.713,6.968,0.07,2.345,0.512,1.986,0.826,0.631,-24.911,0,0,-76.398,-2.313,1.179,1.508,0,0,-5.36,118855637,-1.12454090909091,1.10934615062029,0,FALSE,2,7.7299239775222,0,1.01369703988437,4.83167494384232
"83","CNLG",2011,0.987,0.008,12.455,0.125,0.356,0.532,-0.679,0.389,1.666,-4.323,0,0,-80.721,0,1.692,-0.766,0,0,-0.43,33356700,-0.299612142857143,0.1220136336642,0,FALSE,2,1.51967980728761,0,2.45556282408342,3.5241963302513
"84","CNLG",2012,0.814,0.071,21.592,0.216,0.809,0.419,-1.487,0.497,2.301,-1.802,0,0,-82.523,0,0.832,-1.557,0,0,-0.1,2981034,-0.02019,0.0708417045330718,0,FALSE,2,1.52961408427809,0,0.28500161215876,1.41159788092501
"85","GLW",2010,25833,4598,1561,813,-2,3895,21688,738,6407,3558,48.5,2.6,6924,0,6632,6873,2790,3164,2.28,3843192258,-0.474404306220094,18.266004968779,0,FALSE,3,28513.233756264,0,0.025971979479419,0.124822039843801
"86","GLW",2011,27848,4661,1515,818,-980,4508,23493,975,6719,2805,48,1.85,9243,0,7890,6580,2652,3040,1.8,4460778510,-6.86188095238095,17.4440861400867,0,FALSE,3,26427.7905022314,0,0.39336431253984,0.103186832806539
"87","GLW",2012,29375,4988,1470,825,-115,4375,24915,1051,7842,1728,48.5,1.05,10288,0,8012,7739,2343,2907,1.16,3803022196,-1.07375,12.8780236689798,0,FALSE,3,18930.6947934002,0,0.0833784769775211,0.0900759332190215
"88","GLW",2013,28478,4704,1399,831,-2063,4295,24483,1270,7267,1961,46.95,1.5,11364,-656,7819,7145,2234,2498,1.35,3251423968,4.85428571428572,14.604297676421,0,FALSE,3,20431.4124493129,0,0.332387480852509,0.0924385430858214
"89","DAIO",2010,29.424,18.942,9.028,22.172,-0.035,16.474,23.965,3.57,5.459,3.012,56,1.66,1.793,0,26.396,22.603,0,0,0.33,4240403,1.35414114832536,4.84444782377551,0,FALSE,2,43.7356749530453,0,0.279524353978904,0.0681192185372357
"90","DAIO",2011,31.345,18.12,9.208,23.414,-0.327,16.409,26.469,3.964,4.876,1.063,55,1.39,3.055,0,26.666,22.355,0,0,0.12,3127590,-1.88385142857143,5.33741415184041,0,FALSE,2,49.1469095101465,0,0.352952080348094,0.022482797209698
"91","DAIO",2012,18.822,10.528,7.742,17.928,-6.01,9.899,14.745,4.033,4.077,-6.429,53,0.64,-3.183,0,17.085,13.837,0,0,-0.8,5450139,-2.48693,2.796705173284,0,FALSE,2,21.6520914515647,0,0.889235670515727,0.286050888610689
"92","DAIO",2013,17.502,10.426,7.786,18.343,-0.01,10.122,12.862,3.77,4.64,-2.576,54,0.92,-5.481,0,18.717,12.244,0,0,-0.33,3365990,0.8049,2.16218754041725,0,FALSE,2,16.8347921896887,0,0.372261880597404,0.152623208593792
"94","DRAM",2010,14.82,0.345,8.928,8.929,2.667,11.702,7.381,5.462,7.439,-4.634,67.5,1.8,-10.17,-0.001,46.847,3.125,0,0,-0.52,14015330,-1.88246746411483,2.20691664053909,0,FALSE,2,19.703351766733,0,0.852985305169928,0.235622855185403
"95","DRAM",2011,11.43,3.275,10.659,10.703,1.42,9.066,9.193,2.932,3.904,-3.259,77,0.55,-13.428,0,36.079,6.69,0,0,-0.31,5926213,-0.847855952380952,1.60959535396875,0,FALSE,2,17.1566768779529,0,0.526750993838551,0.192594989315569
"96","DRAM",2012,8.165,0.324,1.784,1.755,1.28,5.853,4.257,2.903,5.175,-4.625,77,4.38,-18.053,0,27.616,2.56,0,0,-2.6,3199949,-0.4236,0.715097473752728,0,FALSE,2,1.27573389317487,0,0.592366796902537,3.63586796965674
"97","DBD",2010,2519.79,328.658,65.717,95.456,-111.1,790.008,1540.182,444.575,1529.976,-20.252,40,2.96,992.922,0,2823.793,904.271,49.961,122.171,-0.31,108901787,1.99904306220096,30.151810177618,0.0159476230846964,TRUE,3,1981.48650944252,31600000,0.0662992719317685,0.0102813064347996
"98","DBD",2011,2517.443,333.92,62.514,96.051,-123.535,819.803,1464.414,440.9,1659.183,144.815,40,2.1,950.867,0,2835.848,908.138,91.09,168.798,2.25,106733123,-1.76816666666667,31.3220203782678,0,FALSE,3,1958.06478192703,0,0.0564512328806693,0.0718344465914823
"99","DBD",2012,2592.987,368.792,63.241,97.076,-36.227,810.81,1462.845,412.996,1747.676,78.454,41,1.11,905.795,0,2991.693,976.002,76.375,184.821,1.24,140581012,-0.4405,34.5013249110094,0,FALSE,3,2181.89828869715,0,0.0127676256241231,0.0359406487489504
"100","DBD",2013,2183.491,230.709,64.068,98.273,-204.449,739.759,1101.057,376.462,1562.676,-181.605,38,1.175,668.422,-18.489,2857.491,661.614,39.461,138.948,-2.85,197513628,1.65380952380952,30.8197111801242,0,FALSE,3,1974.5572558882,0,0.0536607729431311,0.0924732870903079
"101","NSYS",2010,41.561,0.231,2.743,0.027,-1.876,13.121,21.02,16.109,22.272,0.507,0,0,3.313,0,99.82,13.064,0.219,0.813,0.18,321638,0.752768899521531,3.64211115573436,0,FALSE,3,9.99031090017935,0,0.206684768073683,0.0494218853580559
